kHz:75;Time(UTC):93;Days:59;ITU:49;Station:201;Lng:49;Target:62;Remarks:135;P:35;Start:60;Stop:60
18.1;0000-2400;;RUS;RDL Russian Navy;-CW;RUS;m;1;;[1219]
20.5;0741-0747;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;[0120]
20.5;0441-0447;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;[0120]
20.5;1041-1047;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;[0120]
